epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
141,12952,0.42345,0.32965,0.91851,0.9875,0.92666,0.97783,0.92271,0.34938,0.18414,0.84364,0.007228,0.007228,0.007228
142,13044.7,0.4208,0.32348,0.9129,0.98239,0.9921,0.99408,0.93891,0.35957,0.19172,0.84769,0.0072082,0.0072082,0.0072082
143,13136.9,0.42327,0.33004,0.91519,0.94138,0.99366,0.96156,0.90578,0.35446,0.18867,0.84551,0.0071884,0.0071884,0.0071884
144,13229.1,0.41823,0.3315,0.91694,0.93866,0.99154,0.99454,0.93794,0.35113,0.1903,0.8464,0.0071686,0.0071686,0.0071686
145,13321.1,0.41782,0.33585,0.91623,0.98972,0.99181,0.99454,0.93887,0.351,0.19317,0.84806,0.0071488,0.0071488,0.0071488
146,13413.6,0.42628,0.32587,0.91733,0.93581,0.99389,0.97797,0.92238,0.3523,0.19254,0.84886,0.007129,0.007129,0.007129
147,13505.7,0.42238,0.31576,0.91331,0.99025,0.92767,0.96812,0.91264,0.35006,0.18588,0.84801,0.0071092,0.0071092,0.0071092
148,13597.8,0.42197,0.33791,0.91514,0.98058,0.98981,0.99412,0.93783,0.3535,0.18507,0.84731,0.0070894,0.0070894,0.0070894
149,13689.9,0.42897,0.32911,0.92266,0.98663,0.9929,0.99399,0.9386,0.3534,0.18602,0.84756,0.0070696,0.0070696,0.0070696
150,13782.2,0.42182,0.32204,0.9146,0.99058,0.99415,0.99371,0.93878,0.35631,0.18137,0.84877,0.0070498,0.0070498,0.0070498
151,13875.1,0.41417,0.32155,0.91157,0.97978,0.92578,0.96094,0.90559,0.35408,0.18057,0.84744,0.00703,0.00703,0.00703
152,13967.8,0.41902,0.31827,0.91826,0.98878,0.99314,0.9938,0.93838,0.353,0.17764,0.84564,0.0070102,0.0070102,0.0070102
153,14059.9,0.418,0.3229,0.91325,0.98695,0.99175,0.99367,0.93868,0.35191,0.17536,0.84454,0.0069904,0.0069904,0.0069904
154,14152.4,0.42336,0.31682,0.91356,0.99165,0.99483,0.99407,0.93735,0.35154,0.17372,0.84444,0.0069706,0.0069706,0.0069706
155,14244.6,0.41348,0.31867,0.91546,0.99207,0.99519,0.99408,0.93984,0.35322,0.1727,0.84449,0.0069508,0.0069508,0.0069508
156,14337.1,0.41711,0.32187,0.91578,0.98997,0.99555,0.99362,0.93842,0.35314,0.17715,0.8454,0.006931,0.006931,0.006931
157,14429.7,0.42583,0.31105,0.917,0.99096,0.99139,0.99377,0.93881,0.35444,0.1784,0.84525,0.0069112,0.0069112,0.0069112
158,14521.5,0.41152,0.31857,0.91407,0.99229,0.98992,0.99384,0.93796,0.35667,0.18345,0.84667,0.0068914,0.0068914,0.0068914
159,14613.9,0.40968,0.3201,0.90771,0.96598,0.9891,0.99383,0.93895,0.35392,0.18,0.84538,0.0068716,0.0068716,0.0068716
160,14706,0.41052,0.30986,0.90549,0.96524,0.98566,0.99419,0.93937,0.35449,0.17584,0.84466,0.0068518,0.0068518,0.0068518
161,14797.8,0.40892,0.30672,0.91056,0.91335,0.9878,0.99417,0.93983,0.35459,0.17463,0.8446,0.006832,0.006832,0.006832
162,14890,0.41386,0.31399,0.91232,0.92174,0.98912,0.99455,0.93985,0.3523,0.17136,0.84462,0.0068122,0.0068122,0.0068122
163,14981.5,0.41266,0.31056,0.91323,0.9398,0.99058,0.99447,0.94048,0.35118,0.1702,0.84396,0.0067924,0.0067924,0.0067924
164,15073.4,0.41824,0.31847,0.91707,0.98232,0.98835,0.99387,0.94068,0.35207,0.17551,0.84474,0.0067726,0.0067726,0.0067726
165,15165.3,0.41292,0.31531,0.91644,0.99265,0.97781,0.99391,0.94101,0.35172,0.17911,0.84462,0.0067528,0.0067528,0.0067528
166,15256.6,0.40274,0.30758,0.90599,0.93121,0.99481,0.9777,0.92354,0.35433,0.17959,0.84546,0.006733,0.006733,0.006733
167,15348.6,0.40757,0.3164,0.90923,0.93199,0.99398,0.96131,0.90798,0.35024,0.17929,0.84555,0.0067132,0.0067132,0.0067132
168,15440.7,0.41054,0.31502,0.91352,0.93634,0.99152,0.96052,0.90693,0.35049,0.18535,0.8461,0.0066934,0.0066934,0.0066934
169,15532.1,0.40523,0.30717,0.90396,0.93664,0.99368,0.96049,0.9067,0.35292,0.18583,0.84746,0.0066736,0.0066736,0.0066736
170,15624.1,0.40813,0.31408,0.90828,0.93616,0.9935,0.96077,0.90745,0.35264,0.18829,0.84773,0.0066538,0.0066538,0.0066538
171,15715.8,0.40831,0.31208,0.90818,0.93395,0.9942,0.9613,0.9083,0.35236,0.18068,0.84543,0.006634,0.006634,0.006634
172,15808.1,0.41265,0.31162,0.90877,0.9323,0.99222,0.96145,0.90857,0.35208,0.17824,0.84432,0.0066142,0.0066142,0.0066142
173,15900.4,0.4091,0.31244,0.91185,0.93403,0.99665,0.97768,0.92454,0.35299,0.17806,0.84461,0.0065944,0.0065944,0.0065944
174,15992,0.4135,0.31109,0.90962,0.9314,0.99683,0.97791,0.92523,0.35157,0.17646,0.84378,0.0065746,0.0065746,0.0065746
175,16084.1,0.41049,0.30486,0.91386,0.99265,0.9848,0.99448,0.94258,0.35071,0.17607,0.84357,0.0065548,0.0065548,0.0065548
176,16175.9,0.40504,0.30328,0.90949,0.99625,0.97643,0.994,0.94149,0.35275,0.17528,0.84448,0.006535,0.006535,0.006535
177,16267.9,0.41542,0.30744,0.91139,0.99536,0.99134,0.99395,0.94103,0.35274,0.17391,0.84467,0.0065152,0.0065152,0.0065152
